Name,Country,District,DS Division,Latitude,Longitude,Language
Chanthabouly,LA,Chanthabouly,Chanthabouly Central,17.9757,102.6331,en
Sikhottabong,LA,Sikhottabong,Sikhottabong Central,17.9757,102.6331,en
Xaysettha,LA,Xaysettha,Xaysettha Central,17.9757,102.6331,en
Sisattanak,LA,Sisattanak,Sisattanak Central,17.9757,102.6331,en
Naxaithong,LA,Naxaithong,Naxaithong Central,17.9757,102.6331,en
Xaythany,LA,Xaythany,Xaythany Central,17.9757,102.6331,en
Hadxaifong,LA,Hadxaifong,Hadxaifong Central,17.9757,102.6331,en
Sangthong,LA,Sangthong,Sangthong Central,17.9757,102.6331,en
Paknguem,LA,Paknguem,Paknguem Central,17.9757,102.6331,en
Phongsaly,LA,Phongsaly,Phongsaly Central,21.68,102.1,en
Mai,LA,Mai,Mai Central,21.68,102.1,en
Khoua,LA,Khoua,Khoua Central,21.68,102.1,en
Samphanh,LA,Samphanh,Samphanh Central,21.68,102.1,en
Boonneua,LA,Boonneua,Boonneua Central,21.68,102.1,en
Nhodou,LA,Nhodou,Nhodou Central,21.68,102.1,en
Boontai,LA,Boontai,Boontai Central,21.68,102.1,en
Luangnamtha,LA,Luangnamtha,Luangnamtha Central,20.917,101.4,en
Sing,LA,Sing,Sing Central,20.917,101.4,en
Long,LA,Long,Long Central,20.917,101.4,en
Viengphoukha,LA,Viengphoukha,Viengphoukha Central,20.917,101.4,en
Nalae,LA,Nalae,Nalae Central,20.917,101.4,en
Xay,LA,Xay,Xay Central,20.69,101.98,en
La,LA,La,La Central,20.69,101.98,en
Namor,LA,Namor,Namor Central,20.69,101.98,en
Nga,LA,Nga,Nga Central,20.69,101.98,en
Beng,LA,Beng,Beng Central,20.69,101.98,en
Houn,LA,Houn,Houn Central,20.69,101.98,en
Pakbeng,LA,Pakbeng,Pakbeng Central,20.69,101.98,en
Huayxai,LA,Huayxai,Huayxai Central,20.28,100.43,en
Tonpheung,LA,Tonpheung,Tonpheung Central,20.28,100.43,en
Meung,LA,Meung,Meung Central,20.28,100.43,en
Phaoudom,LA,Phaoudom,Phaoudom Central,20.28,100.43,en
Paktha,LA,Paktha,Paktha Central,20.28,100.43,en
Luangprabang,LA,Luangprabang,Luangprabang Central,19.8856,102.1347,en
Xiengngeun,LA,Xiengngeun,Xiengngeun Central,19.8856,102.1347,en
Nan,LA,Nan,Nan Central,19.8856,102.1347,en
Parkou,LA,Parkou,Parkou Central,19.8856,102.1347,en
Nambak,LA,Nambak,Nambak Central,19.8856,102.1347,en
Ngoi,LA,Ngoi,Ngoi Central,19.8856,102.1347,en
Pakxeng,LA,Pakxeng,Pakxeng Central,19.8856,102.1347,en
Phonxay,LA,Phonxay,Phonxay Central,19.8856,102.1347,en
Chomphet,LA,Chomphet,Chomphet Central,19.8856,102.1347,en
Viengkham,LA,Viengkham,Viengkham Central,19.8856,102.1347,en
Phoukhoun,LA,Phoukhoun,Phoukhoun Central,19.8856,102.1347,en
Phonthong,LA,Phonthong,Phonthong Central,19.8856,102.1347,en
Xamneua,LA,Xamneua,Xamneua Central,20.415,104.045,en
Xiengkhor,LA,Xiengkhor,Xiengkhor Central,20.415,104.045,en
Hiem,LA,Hiem,Hiem Central,20.415,104.045,en
Viengxay,LA,Viengxay,Viengxay Central,20.415,104.045,en
Houameuang,LA,Houameuang,Houameuang Central,20.415,104.045,en
Xamtay,LA,Xamtay,Xamtay Central,20.415,104.045,en
Sopbao,LA,Sopbao,Sopbao Central,20.415,104.045,en
Ed,LA,Ed,Ed Central,20.415,104.045,en
Kuan,LA,Kuan,Kuan Central,20.415,104.045,en
Xon,LA,Xon,Xon Central,20.415,104.045,en
Xayabouly,LA,Xayabouly,Xayabouly Central,19.25,101.75,en
Khop,LA,Khop,Khop Central,19.25,101.75,en
Hongsa,LA,Hongsa,Hongsa Central,19.25,101.75,en
Ngeun,LA,Ngeun,Ngeun Central,19.25,101.75,en
Xienghone,LA,Xienghone,Xienghone Central,19.25,101.75,en
Phiang,LA,Phiang,Phiang Central,19.25,101.75,en
Paklai,LA,Paklai,Paklai Central,19.25,101.75,en
Kenthao,LA,Kenthao,Kenthao Central,19.25,101.75,en
Boten,LA,Boten,Boten Central,19.25,101.75,en
Thongmyxay,LA,Thongmyxay,Thongmyxay Central,19.25,101.75,en
Xaysathan,LA,Xaysathan,Xaysathan Central,19.25,101.75,en
Pek,LA,Pek,Pek Central,19.45,103.15,en
Kham,LA,Kham,Kham Central,19.45,103.15,en
Nonghed,LA,Nonghed,Nonghed Central,19.45,103.15,en
Khoun,LA,Khoun,Khoun Central,19.45,103.15,en
Mok,LA,Mok,Mok Central,19.45,103.15,en
Phoukoud,LA,Phoukoud,Phoukoud Central,19.45,103.15,en
Phaxay,LA,Phaxay,Phaxay Central,19.45,103.15,en
Phonhong,LA,Phonhong,Phonhong Central,18.5,102.4,en
Thoulakhom,LA,Thoulakhom,Thoulakhom Central,18.5,102.4,en
Keooudom,LA,Keooudom,Keooudom Central,18.5,102.4,en
Kasi,LA,Kasi,Kasi Central,18.5,102.4,en
Vangvieng,LA,Vangvieng,Vangvieng Central,18.5,102.4,en
Feuang,LA,Feuang,Feuang Central,18.5,102.4,en
Xanakham,LA,Xanakham,Xanakham Central,18.5,102.4,en
Med,LA,Med,Med Central,18.5,102.4,en
Viengkham,LA,Viengkham,Viengkham Central,18.5,102.4,en
Hinherb,LA,Hinherb,Hinherb Central,18.5,102.4,en
Meun,LA,Meun,Meun Central,18.5,102.4,en
Pakxan,LA,Pakxan,Pakxan Central,18.4,103.66,en
Thaphabad,LA,Thaphabad,Thaphabad Central,18.4,103.66,en
Pakkading,LA,Pakkading,Pakkading Central,18.4,103.66,en
Bolikhanh,LA,Bolikhanh,Bolikhanh Central,18.4,103.66,en
Khamkued,LA,Khamkued,Khamkued Central,18.4,103.66,en
Viengthong,LA,Viengthong,Viengthong Central,18.4,103.66,en
Xaychamphone,LA,Xaychamphone,Xaychamphone Central,18.4,103.66,en
Thakhek,LA,Thakhek,Thakhek Central,17.4,104.8,en
Mahaxay,LA,Mahaxay,Mahaxay Central,17.4,104.8,en
Nongbok,LA,Nongbok,Nongbok Central,17.4,104.8,en
Hinboun,LA,Hinboun,Hinboun Central,17.4,104.8,en
Nhommalad,LA,Nhommalad,Nhommalad Central,17.4,104.8,en
Bualapha,LA,Bualapha,Bualapha Central,17.4,104.8,en
Nakai,LA,Nakai,Nakai Central,17.4,104.8,en
Xebangfay,LA,Xebangfay,Xebangfay Central,17.4,104.8,en
Xaybouathong,LA,Xaybouathong,Xaybouathong Central,17.4,104.8,en
Khounkham,LA,Khounkham,Khounkham Central,17.4,104.8,en
Kaysonephomvihane,LA,Kaysonephomvihane,Kaysonephomvihane Central,16.556,104.75,en
Outhoomphone,LA,Outhoomphone,Outhoomphone Central,16.556,104.75,en
Atsaphangthong,LA,Atsaphangthong,Atsaphangthong Central,16.556,104.75,en
Phin,LA,Phin,Phin Central,16.556,104.75,en
Sepone,LA,Sepone,Sepone Central,16.556,104.75,en
Nong,LA,Nong,Nong Central,16.556,104.75,en
Thapangthong,LA,Thapangthong,Thapangthong Central,16.556,104.75,en
Songkhone,LA,Songkhone,Songkhone Central,16.556,104.75,en
Champhone,LA,Champhone,Champhone Central,16.556,104.75,en
Xonnabuly,LA,Xonnabuly,Xonnabuly Central,16.556,104.75,en
Xaybuly,LA,Xaybuly,Xaybuly Central,16.556,104.75,en
Vilabuly,LA,Vilabuly,Vilabuly Central,16.556,104.75,en
Atsaphone,LA,Atsaphone,Atsaphone Central,16.556,104.75,en
Xayphoothong,LA,Xayphoothong,Xayphoothong Central,16.556,104.75,en
Phalanxay,LA,Phalanxay,Phalanxay Central,16.556,104.75,en
Saravane,LA,Saravane,Saravane Central,15.7167,106.4167,en
Taoi,LA,Taoi,Taoi Central,15.7167,106.4167,en
Toumlan,LA,Toumlan,Toumlan Central,15.7167,106.4167,en
Lakhonepheng,LA,Lakhonepheng,Lakhonepheng Central,15.7167,106.4167,en
Vapy,LA,Vapy,Vapy Central,15.7167,106.4167,en
Khongxedone,LA,Khongxedone,Khongxedone Central,15.7167,106.4167,en
Laongarm,LA,Laongarm,Laongarm Central,15.7167,106.4167,en
Samuoi,LA,Samuoi,Samuoi Central,15.7167,106.4167,en
Lamarm,LA,Lamarm,Lamarm Central,15.3667,106.7333,en
Kaleum,LA,Kaleum,Kaleum Central,15.3667,106.7333,en
Dakcheung,LA,Dakcheung,Dakcheung Central,15.3667,106.7333,en
