Name,Country,District,Latitude,Longitude,Language
Chanthabouly Central,LA,Chanthabouly,17.9757,102.6331,en
Sikhottabong Central,LA,Sikhottabong,17.9757,102.6331,en
Xaysettha Central,LA,Xaysettha,17.9757,102.6331,en
Sisattanak Central,LA,Sisattanak,17.9757,102.6331,en
Naxaithong Central,LA,Naxaithong,17.9757,102.6331,en
Xaythany Central,LA,Xaythany,17.9757,102.6331,en
Hadxaifong Central,LA,Hadxaifong,17.9757,102.6331,en
Sangthong Central,LA,Sangthong,17.9757,102.6331,en
Paknguem Central,LA,Paknguem,17.9757,102.6331,en
Phongsaly Central,LA,Phongsaly,21.68,102.1,en
Mai Central,LA,Mai,21.68,102.1,en
Khoua Central,LA,Khoua,21.68,102.1,en
Samphanh Central,LA,Samphanh,21.68,102.1,en
Boonneua Central,LA,Boonneua,21.68,102.1,en
Nhodou Central,LA,Nhodou,21.68,102.1,en
Boontai Central,LA,Boontai,21.68,102.1,en
Luangnamtha Central,LA,Luangnamtha,20.917,101.4,en
Sing Central,LA,Sing,20.917,101.4,en
Long Central,LA,Long,20.917,101.4,en
Viengphoukha Central,LA,Viengphoukha,20.917,101.4,en
Nalae Central,LA,Nalae,20.917,101.4,en
Xay Central,LA,Xay,20.69,101.98,en
La Central,LA,La,20.69,101.98,en
Namor Central,LA,Namor,20.69,101.98,en
Nga Central,LA,Nga,20.69,101.98,en
Beng Central,LA,Beng,20.69,101.98,en
Houn Central,LA,Houn,20.69,101.98,en
Pakbeng Central,LA,Pakbeng,20.69,101.98,en
Huayxai Central,LA,Huayxai,20.28,100.43,en
Tonpheung Central,LA,Tonpheung,20.28,100.43,en
Meung Central,LA,Meung,20.28,100.43,en
Phaoudom Central,LA,Phaoudom,20.28,100.43,en
Paktha Central,LA,Paktha,20.28,100.43,en
Luangprabang Central,LA,Luangprabang,19.8856,102.1347,en
Xiengngeun Central,LA,Xiengngeun,19.8856,102.1347,en
Nan Central,LA,Nan,19.8856,102.1347,en
Parkou Central,LA,Parkou,19.8856,102.1347,en
Nambak Central,LA,Nambak,19.8856,102.1347,en
Ngoi Central,LA,Ngoi,19.8856,102.1347,en
Pakxeng Central,LA,Pakxeng,19.8856,102.1347,en
Phonxay Central,LA,Phonxay,19.8856,102.1347,en
Chomphet Central,LA,Chomphet,19.8856,102.1347,en
Viengkham Central,LA,Viengkham,19.8856,102.1347,en
Phoukhoun Central,LA,Phoukhoun,19.8856,102.1347,en
Phonthong Central,LA,Phonthong,19.8856,102.1347,en
Xamneua Central,LA,Xamneua,20.415,104.045,en
Xiengkhor Central,LA,Xiengkhor,20.415,104.045,en
Hiem Central,LA,Hiem,20.415,104.045,en
Viengxay Central,LA,Viengxay,20.415,104.045,en
Houameuang Central,LA,Houameuang,20.415,104.045,en
Xamtay Central,LA,Xamtay,20.415,104.045,en
Sopbao Central,LA,Sopbao,20.415,104.045,en
Ed Central,LA,Ed,20.415,104.045,en
Kuan Central,LA,Kuan,20.415,104.045,en
Xon Central,LA,Xon,20.415,104.045,en
Xayabouly Central,LA,Xayabouly,19.25,101.75,en
Khop Central,LA,Khop,19.25,101.75,en
Hongsa Central,LA,Hongsa,19.25,101.75,en
Ngeun Central,LA,Ngeun,19.25,101.75,en
Xienghone Central,LA,Xienghone,19.25,101.75,en
Phiang Central,LA,Phiang,19.25,101.75,en
Paklai Central,LA,Paklai,19.25,101.75,en
Kenthao Central,LA,Kenthao,19.25,101.75,en
Boten Central,LA,Boten,19.25,101.75,en
Thongmyxay Central,LA,Thongmyxay,19.25,101.75,en
Xaysathan Central,LA,Xaysathan,19.25,101.75,en
Pek Central,LA,Pek,19.45,103.15,en
Kham Central,LA,Kham,19.45,103.15,en
Nonghed Central,LA,Nonghed,19.45,103.15,en
Khoun Central,LA,Khoun,19.45,103.15,en
Mok Central,LA,Mok,19.45,103.15,en
Phoukoud Central,LA,Phoukoud,19.45,103.15,en
Phaxay Central,LA,Phaxay,19.45,103.15,en
