Name,Country,Latitude,Longitude,Language
Vientiane Capital,Laos,17.9757,102.6331,en
Phongsaly,Laos,21.6800,102.1000,en
Luang Namtha,Laos,20.9170,101.4000,en
Oudomxay,Laos,20.6900,101.9800,en
Bokeo,Laos,20.2800,100.4300,en
Luang Prabang,Laos,19.8856,102.1347,en
Houaphanh,Laos,20.4150,104.0450,en
Xayaboury,Laos,19.2500,101.7500,en
Xiangkhouang,Laos,19.4500,103.1500,en
Vientiane Province,Laos,18.5000,102.4000,en
Bolikhamxay,Laos,18.4000,103.6600,en
Khammouane,Laos,17.4000,104.8000,en
Savannakhet,Laos,16.5560,104.7500,en
Salavan,Laos,15.7167,106.4167,en
Sekong,Laos,15.3667,106.7333,en
Champasak,Laos,15.1200,105.7900,en
Attapeu,Laos,14.8100,106.8400,en
Xaisomboun,Laos,18.9000,102.6300,en
